OpenTime,LTC-USD_Open,LTC-USD_High,LTC-USD_Low,LTC-USD_Close,LTC-USD_Volume,CloseTime,LTC-QuoteAssetVolume,LTC-NumberOfTrades,LTC-TBBAV,LTC-TBQAV,LTC-ignore,ETH-USD_Open,ETH-USD_High,ETH-USD_Low,ETH-USD_Close,ETH-USD_Volume,ETH-QuoteAssetVolume,ETH-NumberOfTrades,ETH-TBBAV,ETH-TBQAV,ETH-ignore,BTC-USD_Open,BTC-USD_High,BTC-USD_Low,BTC-USD_Close,BTC-USD_Volume,BTC-QuoteAssetVolume,BTC-NumberOfTrades,BTC-TBBAV,BTC-TBQAV,BTC-ignore
2021-03-14 15:00:00,219.16,219.53,216.02,217.04,36531.7011,2021-03-14 15:59:59.999,7952693.600146,22966.0,18151.01844,3951752.5870055,0.0,1868.49,1870.12,1846.72,1858.01,33712.28848,62539816.0609283,36759.0,15741.76996,29205311.1987548,0.0,60001.9,60150.0,59470.0,59681.26,2495.615256,149336242.94249174,76701.0,1064.238961,63721696.9749835,0.0
2021-03-14 16:00:00,217.06,218.86,214.9,216.46,43136.33575,2021-03-14 16:59:59.999,9356137.097528,30296.0,20877.55036,4528717.1577058,0.0,1858.01,1868.81,1836.0,1853.32,41686.94647,77248744.7782028,43846.0,19756.63968,36632499.1074782,0.0,59681.21,60066.59,59300.0,59567.74,3099.347608,184953713.995949,120192.0,1377.264744,82198780.32783666,0.0
2021-03-14 17:00:00,216.47,218.49,216.03,216.58,23934.33031,2021-03-14 17:59:59.999,5195158.7769232,39917.0,10868.92482,2359366.8919537,0.0,1853.33,1866.0,1850.0,1854.5,23083.96792,42909079.9605485,43022.0,11494.26078,21368576.890821,0.0,59567.74,60023.07,59523.66,59701.1,1638.551378,97971937.36521325,89045.0,829.240433,49596173.3131467,0.0
2021-03-14 18:00:00,216.55,219.6,216.55,219.11,23775.38799,2021-03-14 18:59:59.999,5192961.8484948,11824.0,11699.9669,2555648.4907336,0.0,1854.51,1878.96,1854.5,1874.83,22322.93382,41749612.6367861,75755.0,12599.55459,23563734.289085,0.0,59701.1,60369.99,59700.0,60138.31,1579.177604,94907457.27258277,64152.0,846.772151,50891878.69917035,0.0
2021-03-14 19:00:00,219.1,219.66,217.83,219.59,20804.21007,2021-03-14 19:59:59.999,4555212.4103988,10509.0,11294.9144,2473497.5019116,0.0,1874.83,1877.77,1860.61,1871.16,16216.94111,30343081.1200239,24567.0,7956.21713,14888530.170352,0.0,60138.31,60200.0,59789.74,59931.7,1318.69249,79162190.55300161,55188.0,619.659327,37195690.01610081,0.0
2021-03-14 20:00:00,219.58,219.9,217.21,218.75,22796.21927,2021-03-14 20:59:59.999,4974797.049248,24577.0,13530.91782,2953510.9416898,0.0,1870.98,1878.44,1860.96,1876.33,19135.3005,35794942.7993877,24537.0,9131.2304,17083656.1211274,0.0,59928.71,60325.98,59702.78,60264.48,1677.502893,100584010.81332785,57797.0,795.019966,47679877.50516328,0.0
2021-03-14 21:00:00,218.75,219.59,217.09,217.97,15197.63175,2021-03-14 21:59:59.999,3312742.2509118,6787.0,9555.76465,2083337.944216,0.0,1876.46,1878.94,1864.0,1869.96,11480.45156,21464056.8515349,20371.0,5457.17673,10202391.116234,0.0,60264.48,60485.08,59852.18,60081.54,1480.961277,89065134.54869998,57633.0,732.282748,44037662.87055341,0.0
2021-03-14 22:00:00,217.97,219.09,216.74,218.67,18073.14049,2021-03-14 22:59:59.999,3938468.2176061,9002.0,8986.21656,1958729.0148186,0.0,1869.96,1885.82,1860.0,1880.6,18168.29956,34075618.6208251,26960.0,8519.96612,15981045.438516,0.0,60081.55,60324.43,59733.38,60201.19,1414.972973,84965673.31902896,53647.0,633.951684,38072956.04917135,0.0
2021-03-14 23:00:00,218.72,220.78,213.84,213.94,46620.73392,2021-03-14 23:59:59.999,10159384.928331,20227.0,18812.58028,4104654.5055232,0.0,1880.75,1893.95,1846.44,1848.1,37980.81866,71273423.0015746,37887.0,16744.19455,31447502.5889738,0.0,60201.19,60750.0,58966.78,58968.31,4143.921169,248075311.28127876,142747.0,1810.768589,108552720.33577378,0.0
2021-03-15 00:00:00,214.0,218.04,212.33,216.01,56284.96289,2021-03-15 00:59:59.999,12136826.9768949,21917.0,29591.25278,6386007.0817232,0.0,1848.1,1882.52,1840.0,1871.4,37820.92338,70454892.2506532,88818.0,19746.74157,36769851.3440035,0.0,58976.08,59917.78,58705.47,59404.48,4470.863099,265713953.23734152,100243.0,2528.170463,150316819.44283938,0.0
2021-03-15 01:00:00,216.0,219.0,215.42,218.29,32362.39055,2021-03-15 01:59:59.999,7036265.9459202,17055.0,14933.20257,3245477.5240034,0.0,1871.59,1890.0,1866.55,1884.99,25432.52493,47807089.9446338,56716.0,13981.13109,26287098.4939053,0.0,59404.48,60251.42,59227.52,60066.56,2965.917023,177264954.872724,80765.0,1686.309054,100744333.35911317,0.0
2021-03-15 02:00:00,218.3,219.66,218.29,218.59,16133.69212,2021-03-15 02:59:59.999,3532800.5066496,10520.0,8237.29917,1803867.1324842,0.0,1884.99,1891.44,1868.3,1882.33,20838.90068,39289735.8796895,20957.0,9617.14257,18140261.8279095,0.0,60066.56,60331.02,60037.61,60069.63,1776.362134,106937773.31051113,56984.0,969.207633,58344923.59552751,0.0
2021-03-15 03:00:00,218.59,220.72,218.37,220.0,22940.24566,2021-03-15 03:59:59.999,5035335.5858564,46245.0,11541.54512,2533406.92328,0.0,1882.27,1889.79,1882.27,1885.55,15785.86828,29770243.6755747,18599.0,7569.96935,14275783.1176445,0.0,60069.63,60491.47,60069.62,60379.99,1353.807936,81603410.2108285,48278.0,689.847654,41586267.39876213,0.0
2021-03-15 04:00:00,219.99,222.58,217.61,218.31,48312.60041,2021-03-15 04:59:59.999,10641903.8837462,21294.0,24061.35418,5301664.0411541,0.0,1884.99,1891.76,1857.0,1863.27,30379.80529,56908054.9291448,51310.0,14077.37789,26372726.942385,0.0,60379.99,60633.43,59658.87,59773.71,2437.909665,146672139.53938654,68290.0,1186.421995,71396347.2729943,0.0
2021-03-15 05:00:00,218.33,218.63,214.02,214.1,44454.21729,2021-03-15 05:59:59.999,9610580.3520686,34758.0,19502.57764,4215400.7846172,0.0,1863.28,1866.0,1840.88,1841.3,34484.75128,63939705.2666532,87475.0,15506.32543,28759430.1041025,0.0,59773.7,59916.24,59005.0,59013.35,3320.909352,197532625.47269636,81960.0,1585.256557,94305122.29442164,0.0
2021-03-15 06:00:00,214.11,216.04,210.93,212.18,56612.47834,2021-03-15 06:59:59.999,12059189.4933189,41551.0,26546.33462,5653856.3155995,0.0,1841.15,1851.22,1797.29,1811.99,74573.22473,135705568.968545,75595.0,31990.69546,58204640.9144053,0.0,59019.39,59365.42,58421.0,58781.49,4947.782412,291146694.77416575,130536.0,2194.574434,129180466.6111414,0.0
2021-03-15 07:00:00,212.19,212.38,205.06,208.46,104688.74496,2021-03-15 07:59:59.999,21823270.3514025,39223.0,46030.06471,9604560.8716308,0.0,1811.99,1812.7,1771.48,1793.82,85539.97449,153642398.4607227,137790.0,40656.50427,73040473.4545788,0.0,58783.38,58792.57,57253.0,57789.76,8895.351216,515335194.0285479,208289.0,3768.966557,218358307.60227078,0.0
2021-03-15 08:00:00,208.47,211.24,206.87,208.09,52393.02932,2021-03-15 08:59:59.999,10969866.5538054,26350.0,26095.58466,5466529.9219854,0.0,1793.82,1809.92,1781.92,1788.62,52024.49034,93464084.9244941,51180.0,26115.04199,46921653.7848321,0.0,57789.75,58350.0,57500.0,57757.7,4975.321732,288336805.0650365,119653.0,2424.436593,140511615.46207806,0.0
2021-03-15 09:00:00,208.09,209.11,200.39,204.95,156511.96971,2021-03-15 09:59:59.999,31928210.9382744,49492.0,71314.70702,14558872.881363,0.0,1789.04,1796.91,1730.0,1765.92,139522.16115,245699044.6444408,121874.0,71267.65486,125502197.6927641,0.0,57757.71,58100.0,54600.0,55867.91,16138.467401,905203244.1908646,325051.0,7435.247695,416798260.80812347,0.0
2021-03-15 10:00:00,204.97,206.88,203.26,206.09,71364.40752,2021-03-15 10:59:59.999,14637568.9865564,25465.0,34972.705,7172145.1728375,0.0,1765.54,1781.53,1760.52,1780.81,44366.2486,78638929.7888148,66314.0,22702.03031,40239433.1803678,0.0,55871.29,56438.0,55555.55,56355.14,5624.833829,315479252.5005593,153767.0,2615.800085,146712393.30472207,0.0
2021-03-15 11:00:00,206.09,207.88,203.98,205.14,52308.60259,2021-03-15 11:59:59.999,10750752.1019482,19157.0,26784.11456,5509396.0627148,0.0,1780.65,1785.05,1765.72,1770.0,38740.96248,68780844.4251722,71279.0,18087.11837,32112117.835382,0.0,56355.13,56576.37,55888.01,56150.79,4161.882475,234126646.76055732,137998.0,2003.629851,112723665.39977284,0.0
2021-03-15 12:00:00,205.13,206.6,201.3,206.31,75771.42955,2021-03-15 12:59:59.999,15436751.7604966,39623.0,37821.91883,7708271.1999469,0.0,1770.0,1781.33,1745.52,1778.79,53501.35599,94330339.2799737,77325.0,26998.43823,47614115.4008693,0.0,56150.8,56481.38,55050.0,56439.53,6180.176003,344675696.13245714,133436.0,3111.957453,173549833.79185963,0.0
2021-03-15 13:00:00,206.32,207.56,205.6,206.21,53320.32054,2021-03-15 13:59:59.999,11024652.2010682,48094.0,29584.68614,6117383.7092419,0.0,1778.76,1793.9,1775.0,1788.76,44469.68522,79395568.664313,69813.0,23033.16371,41124133.9749973,0.0,56439.54,57046.87,56250.48,56855.58,4832.090078,274254493.3214679,124306.0,2321.194889,131723807.4370812,0.0
2021-03-15 14:00:00,206.26,207.43,203.39,203.57,63469.45654,2021-03-15 14:59:59.999,13071856.5286562,23417.0,34201.81376,7053263.3164037,0.0,1788.84,1804.54,1775.51,1775.51,51426.83049,92138261.7921029,77738.0,26902.30733,48196500.8601459,0.0,56855.58,57312.47,56123.12,56134.09,4699.216333,267295233.1289563,143725.0,2203.524004,125368219.1423943,0.0
2021-03-15 15:00:00,203.58,205.39,201.6,201.79,51671.83877,2021-03-15 15:59:59.999,10515990.8814231,22230.0,25012.63378,5091149.0800017,0.0,1775.51,1788.48,1764.88,1765.84,41745.43364,74245855.8754668,80660.0,21784.01058,38755020.7849465,0.0,56134.09,56816.69,55854.2,56224.13,4402.384401,247998456.87422207,96774.0,2407.067273,135606156.46048522,0.0
2021-03-15 16:00:00,201.84,203.18,197.86,199.55,168639.67753,2021-03-15 16:59:59.999,33774191.9837569,40860.0,93272.41848,18678258.9573689,0.0,1765.84,1789.37,1752.0,1770.92,46850.62494,82901415.7561899,71707.0,23239.5961,41127622.2521376,0.0,56224.14,56700.0,55669.28,56247.87,4462.956112,251075090.05218074,153182.0,2259.944065,127126686.2749867,0.0
2021-03-15 17:00:00,199.57,201.32,197.56,200.5,66192.43222,2021-03-15 17:59:59.999,13215103.6974441,24750.0,30269.35423,6043673.6640874,0.0,1770.83,1777.0,1755.56,1770.83,31936.66237,56434441.4014074,68011.0,16072.26343,28402947.0153162,0.0,56261.02,56331.11,55478.01,56035.79,3315.713786,185299555.9401367,116860.0,1603.267063,89604950.24974911,0.0
2021-03-15 18:00:00,200.47,202.82,199.75,202.4,42867.09099,2021-03-15 18:59:59.999,8638258.6924765,34310.0,21550.33435,4341471.3335735,0.0,1771.18,1788.77,1764.45,1784.67,24019.12223,42676468.7542537,28732.0,12728.58797,22616298.1015008,0.0,56034.82,56377.66,55800.0,56113.9,2345.779168,131599524.68354642,64657.0,1239.803615,69548719.30195048,0.0
